image_id,image_uri,mark_type,box_x,box_y,box_width,box_height,true_distance_cm,source,captured_at,analysis_mode,target_object_type
sample_0091,samples/mobile-camera/image_0091.jpg,box,666.88,300.74,223.57,431.33,38.87,mobile-camera,2026-08-13T12:00:00+00:00,distance,bicycle
sample_0092,samples/mobile-camera/image_0092.jpg,box,899.4,402.38,473.18,472.21,45.73,mobile-camera,2026-06-10T03:00:00+00:00,distance,bicycle
sample_0093,samples/kaggle/image_0093.jpg,box,611.47,350.04,444.03,330.57,64.54,kaggle,2026-08-04T05:00:00+00:00,distance,bicycle
sample_0094,samples/kaggle/image_0094.jpg,polygon,1012.14,117.5,181.73,319.6,82.52,kaggle,2026-06-17T15:00:00+00:00,distance,bicycle
sample_0095,samples/mobile-camera/image_0095.jpg,polygon,207.21,117.5,164.47,106.96,197.71,mobile-camera,2026-05-30T14:00:00+00:00,distance,box
sample_0096,samples/mobile-camera/image_0096.jpg,box,322.05,480.3,528.21,466.2,7.46,mobile-camera,2026-05-09T23:00:00+00:00,distance,box
sample_0097,samples/mobile-camera/image_0097.jpg,box,376.29,380.27,376.04,560.76,35.2,mobile-camera,2026-04-23T08:00:00+00:00,distance,truck
sample_0098,samples/mobile-camera/image_0098.jpg,box,704.14,675.64,463.57,298.82,61.59,mobile-camera,2026-05-21T02:00:00+00:00,distance,box
sample_0099,samples/kaggle/image_0099.jpg,box,147.33,298.71,322.87,181.51,66.21,kaggle,2026-07-01T19:00:00+00:00,distance,person
sample_0100,samples/kaggle/image_0100.jpg,box,774.03,382.58,251.49,383.23,85.32,kaggle,2026-04-14T14:00:00+00:00,distance,car
sample_0101,samples/mobile-camera/image_0101.jpg,box,447.43,779.61,64.81,167.57,189.31,mobile-camera,2026-06-02T12:00:00+00:00,distance,bicycle
sample_0102,samples/mobile-camera/image_0102.jpg,box,899.23,349.71,689.44,318.81,14.44,mobile-camera,2026-08-16T05:00:00+00:00,distance,person
sample_0103,samples/mobile-camera/image_0103.jpg,box,1351.67,711.01,267.58,281.35,33.99,mobile-camera,2026-08-22T19:00:00+00:00,distance,person
sample_0104,samples/mobile-camera/image_0104.jpg,box,1164.52,269.84,492.17,441.16,60.02,mobile-camera,2026-06-14T14:00:00+00:00,distance,box
sample_0105,samples/mobile-camera/image_0105.jpg,box,376.64,412.72,170.57,424.31,60.49,mobile-camera,2026-04-19T19:00:00+00:00,distance,box
sample_0106,samples/mobile-camera/image_0106.jpg,polygon,616.87,118.65,124.66,190.19,103.61,mobile-camera,2026-04-07T02:00:00+00:00,distance,bicycle
sample_0107,samples/mobile-camera/image_0107.jpg,box,1116.69,738.61,275.73,223.81,118.42,mobile-camera,2026-04-30T10:00:00+00:00,distance,person
sample_0108,samples/mobile-camera/image_0108.jpg,box,621.85,206.55,445.37,696.43,16.81,mobile-camera,2026-08-28T01:00:00+00:00,distance,truck
sample_0109,samples/kaggle/image_0109.jpg,box,821.1,400.22,240.61,588.5,39.09,kaggle,2026-08-15T16:00:00+00:00,distance,box
sample_0110,samples/kaggle/image_0110.jpg,circle,443.14,126.8,389.4,428.91,46.72,kaggle,2026-06-26T12:00:00+00:00,distance,person
sample_0111,samples/mobile-camera/image_0111.jpg,box,1469.1,149.65,222.57,133.7,64.29,mobile-camera,2026-06-10T20:00:00+00:00,distance,car
sample_0112,samples/kaggle/image_0112.jpg,circle,115.48,163.76,311.84,148.96,96.29,kaggle,2026-07-06T11:00:00+00:00,distance,person
sample_0113,samples/kaggle/image_0113.jpg,box,1436.07,390.72,125.85,137.44,194.96,kaggle,2026-08-06T19:00:00+00:00,distance,person
sample_0114,samples/kaggle/image_0114.jpg,box,1168.72,98.01,333.83,276.54,24.17,kaggle,2026-05-18T08:00:00+00:00,distance,truck
sample_0115,samples/mobile-camera/image_0115.jpg,box,594.85,377.44,472.43,636.8,38.04,mobile-camera,2026-05-02T06:00:00+00:00,distance,person
sample_0116,samples/mobile-camera/image_0116.jpg,polygon,748.62,528.12,413.26,178.91,46.56,mobile-camera,2026-06-28T08:00:00+00:00,distance,bicycle
sample_0117,samples/mobile-camera/image_0117.jpg,polygon,1014.09,341.95,392.15,308.57,61.88,mobile-camera,2026-04-05T11:00:00+00:00,distance,bicycle
sample_0118,samples/kaggle/image_0118.jpg,box,661.41,117.12,164.73,247.14,97.37,kaggle,2026-06-03T08:00:00+00:00,distance,person
sample_0119,samples/mobile-camera/image_0119.jpg,polygon,1220.74,631.81,189.41,258.65,127.77,mobile-camera,2026-07-14T17:00:00+00:00,distance,car
sample_0120,samples/kaggle/image_0120.jpg,circle,1316.98,49.38,430.91,995.64,14.79,kaggle,2026-08-05T04:00:00+00:00,distance,person
sample_0121,samples/mobile-camera/image_0121.jpg,box,1093.42,188.98,361.06,258.4,31.83,mobile-camera,2026-07-20T01:00:00+00:00,distance,bicycle
sample_0122,samples/mobile-camera/image_0122.jpg,box,917.17,485.15,155.83,304.87,58.63,mobile-camera,2026-07-03T03:00:00+00:00,distance,truck
sample_0123,samples/mobile-camera/image_0123.jpg,polygon,680.46,329.45,403.86,289.13,72.03,mobile-camera,2026-05-28T04:00:00+00:00,distance,truck
sample_0124,samples/mobile-camera/image_0124.jpg,box,711.52,707.08,287.25,230.48,96.54,mobile-camera,2026-07-12T13:00:00+00:00,distance,person
sample_0125,samples/mobile-camera/image_0125.jpg,box,1574.1,105.34,139.35,189.72,100.04,mobile-camera,2026-04-20T20:00:00+00:00,distance,car
sample_0126,samples/mobile-camera/image_0126.jpg,box,355.79,93.13,778.5,871.7,5.75,mobile-camera,2026-04-17T04:00:00+00:00,distance,truck
sample_0127,samples/kaggle/image_0127.jpg,box,558.19,543.41,177.29,401.44,38.31,kaggle,2026-08-03T20:00:00+00:00,distance,car
sample_0128,samples/kaggle/image_0128.jpg,polygon,1081.55,207.0,275.8,260.66,64.69,kaggle,2026-08-22T19:00:00+00:00,distance,box
sample_0129,samples/mobile-camera/image_0129.jpg,circle,713.08,387.45,408.31,429.87,70.44,mobile-camera,2026-06-06T23:00:00+00:00,distance,box
sample_0130,samples/mobile-camera/image_0130.jpg,box,853.47,220.7,250.35,239.99,103.57,mobile-camera,2026-07-16T09:00:00+00:00,distance,car
sample_0131,samples/kaggle/image_0131.jpg,circle,1674.42,866.33,95.38,56.33,216.94,kaggle,2026-06-19T18:00:00+00:00,distance,bicycle
sample_0132,samples/mobile-camera/image_0132.jpg,box,231.97,184.9,862.48,814.65,12.92,mobile-camera,2026-07-09T00:00:00+00:00,distance,car
sample_0133,samples/mobile-camera/image_0133.jpg,box,554.54,215.31,558.0,374.38,42.37,mobile-camera,2026-05-27T11:00:00+00:00,distance,person
sample_0134,samples/mobile-camera/image_0134.jpg,box,1127.48,156.09,322.47,602.98,40.89,mobile-camera,2026-05-20T23:00:00+00:00,distance,box
sample_0135,samples/kaggle/image_0135.jpg,box,1177.29,110.28,143.31,188.15,72.4,kaggle,2026-06-30T02:00:00+00:00,distance,bicycle
sample_0136,samples/kaggle/image_0136.jpg,polygon,971.37,241.41,179.74,263.17,100.62,kaggle,2026-07-10T00:00:00+00:00,distance,truck
sample_0137,samples/mobile-camera/image_0137.jpg,polygon,483.67,822.08,112.59,149.88,123.6,mobile-camera,2026-06-25T14:00:00+00:00,distance,truck
sample_0138,samples/kaggle/image_0138.jpg,box,881.74,52.37,830.73,519.84,22.63,kaggle,2026-07-10T03:00:00+00:00,distance,person
sample_0139,samples/mobile-camera/image_0139.jpg,box,320.46,105.39,578.5,321.37,33.9,mobile-camera,2026-04-30T03:00:00+00:00,distance,person
sample_0140,samples/mobile-camera/image_0140.jpg,polygon,429.93,63.8,555.58,231.23,40.23,mobile-camera,2026-04-24T19:00:00+00:00,distance,truck
sample_0141,samples/kaggle/image_0141.jpg,box,331.05,495.17,390.23,402.49,64.49,kaggle,2026-05-09T05:00:00+00:00,distance,truck
sample_0142,samples/kaggle/image_0142.jpg,polygon,212.32,792.52,216.33,108.93,97.71,kaggle,2026-05-02T18:00:00+00:00,distance,truck
sample_0143,samples/mobile-camera/image_0143.jpg,polygon,132.57,339.41,247.62,85.69,119.51,mobile-camera,2026-06-23T14:00:00+00:00,distance,person
sample_0144,samples/mobile-camera/image_0144.jpg,polygon,628.96,30.83,478.84,1022.47,13.92,mobile-camera,2026-05-16T18:00:00+00:00,distance,bicycle
sample_0145,samples/kaggle/image_0145.jpg,box,1052.24,148.2,265.11,620.62,25.52,kaggle,2026-05-12T04:00:00+00:00,distance,truck
sample_0146,samples/kaggle/image_0146.jpg,box,674.04,221.83,276.21,353.36,63.59,kaggle,2026-05-09T21:00:00+00:00,distance,truck
sample_0147,samples/kaggle/image_0147.jpg,box,1091.33,361.01,198.77,136.06,65.75,kaggle,2026-07-13T05:00:00+00:00,distance,truck
sample_0148,samples/mobile-camera/image_0148.jpg,polygon,821.19,491.08,130.4,148.32,85.09,mobile-camera,2026-04-29T20:00:00+00:00,distance,truck
sample_0149,samples/mobile-camera/image_0149.jpg,polygon,818.72,51.12,164.66,67.92,236.78,mobile-camera,2026-06-13T11:00:00+00:00,distance,truck
